All Method Calls (2202)

<net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.FormatXmlBean; getWidth[]; double; net.sourceforge.squirrel_sql.plugins.graph.PixelCalculater; getPixelWidth[]; int; null; _format>
<java.awt.Toolkit; getScreenResolution[]; int; net.sourceforge.squirrel_sql.plugins.graph.PixelCalculater; getPixelHeight[]; int; null; Toolkit.getDefaultToolkit()>
<java.awt.Toolkit; getDefaultToolkit[]; java.awt.Toolkit; net.sourceforge.squirrel_sql.plugins.graph.PixelCalculater; getPixelHeight[]; int; getScreenResolution[]; Toolkit>
<net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.FormatXmlBean; getHeight[]; double; net.sourceforge.squirrel_sql.plugins.graph.PixelCalculater; getPixelHeight[]; int; null; _format>
<net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.ColumnInfoXmlBean; getColumnName[]; java.lang.String; net.sourceforge.squirrel_sql.plugins.graph.ColumnInfo; ColumnInfo[net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.ColumnInfoXmlBean]; void; null; xmlBean>
<net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.ColumnInfoXmlBean; getColumnType[]; java.lang.String; net.sourceforge.squirrel_sql.plugins.graph.ColumnInfo; ColumnInfo[net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.ColumnInfoXmlBean]; void; null; xmlBean>
<net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.ColumnInfoXmlBean; getColumnSize[]; int; net.sourceforge.squirrel_sql.plugins.graph.ColumnInfo; ColumnInfo[net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.ColumnInfoXmlBean]; void; null; xmlBean>
<net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.ColumnInfoXmlBean; getDecimalDigits[]; int; net.sourceforge.squirrel_sql.plugins.graph.ColumnInfo; ColumnInfo[net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.ColumnInfoXmlBean]; void; null; xmlBean>
<net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.ColumnInfoXmlBean; isNullable[]; boolean; net.sourceforge.squirrel_sql.plugins.graph.ColumnInfo; ColumnInfo[net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.ColumnInfoXmlBean]; void; null; xmlBean>
<net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.ColumnInfoXmlBean; getIndex[]; int; net.sourceforge.squirrel_sql.plugins.graph.ColumnInfo; ColumnInfo[net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.ColumnInfoXmlBean]; void; null; xmlBean>
<net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.ColumnInfoXmlBean; isPrimaryKey[]; boolean; net.sourceforge.squirrel_sql.plugins.graph.ColumnInfo; ColumnInfo[net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.ColumnInfoXmlBean]; void; null; xmlBean>
<net.sourceforge.squirrel_sql.plugins.graph.ColumnInfo; markPrimaryKey[]; void; net.sourceforge.squirrel_sql.plugins.graph.ColumnInfo; ColumnInfo[net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.ColumnInfoXmlBean]; void; null; this>
<net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.ColumnInfoXmlBean; getImportedFromTable[]; java.lang.String; net.sourceforge.squirrel_sql.plugins.graph.ColumnInfo; ColumnInfo[net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.ColumnInfoXmlBean]; void; null; xmlBean>
<net.sourceforge.squirrel_sql.plugins.graph.ColumnInfo; setImportData[java.lang.String, java.lang.String, java.lang.String, boolean]; void; net.sourceforge.squirrel_sql.plugins.graph.ColumnInfo; ColumnInfo[net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.ColumnInfoXmlBean]; void; null; this>
<net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.ColumnInfoXmlBean; getImportedFromTable[]; java.lang.String; net.sourceforge.squirrel_sql.plugins.graph.ColumnInfo; ColumnInfo[net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.ColumnInfoXmlBean]; void; null; xmlBean>
<net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.ColumnInfoXmlBean; getImportedColumn[]; java.lang.String; net.sourceforge.squirrel_sql.plugins.graph.ColumnInfo; ColumnInfo[net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.ColumnInfoXmlBean]; void; null; xmlBean>
<net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.ColumnInfoXmlBean; getConstraintName[]; java.lang.String; net.sourceforge.squirrel_sql.plugins.graph.ColumnInfo; ColumnInfo[net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.ColumnInfoXmlBean]; void; null; xmlBean>
<net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.ColumnInfoXmlBean; isNonDbConstraint[]; boolean; net.sourceforge.squirrel_sql.plugins.graph.ColumnInfo; ColumnInfo[net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.ColumnInfoXmlBean]; void; null; xmlBean>
<net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.ColumnInfoXmlBean; setColumnName[java.lang.String]; void; net.sourceforge.squirrel_sql.plugins.graph.ColumnInfo; getXmlBean[]; net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.ColumnInfoXmlBean; null; ret>
